"English sentence","Swahili Translation"
"It is stated by an anonymous bystander that his trousers and gloves had been changed.","Ni alisema kwa bystander suruali yake bila kuwa na kinga alikuwa iliyopita."
"'Serpent, I say again!' repeated the Pigeon, but in a more subdued tone, and added with a kind of sob, 'I've tried every way, and nothing seems to suit them!'","'Nyoka, nasema tena!' Mara kwa mara Pigeon, lakini kwa sauti ya zaidi ya hawa, na aliongeza na aina ya sob, 'Nimekuwa walijaribu kila njia, na hakuna inaonekana suti wao!'"
"- Hullo, hullo!","- Hullo, hullo!"
"""I shall keep my hand on your shoulder,"" said the Voice, ""all through the village.","""Mimi mtaishika mkono wangu juu ya bega lako,"" alisema Sauti, ""wote kwa njia ya kijiji."
"""Steady, sir."" ""Mast-head ahoy!","""Thabiti, Mheshimiwa."" ""Mlingoti-kichwa ahoy!"
"That was pretty long huh?","Hiyo ilikuwa pretty muda mrefu huh?"
"Gazetteer.""","Gazetteer. """
"BALTHASAR","Balthasar"
"Up-spouted by a whale in air, To express unwieldy joy.""","Up-spouted na nyangumi katika hewa, kwa kueleza furaha unwieldy. """
"""What does that mean?"" asked Mary seriously.","""Ni nini maana gani?"" Aliuliza Mary umakini."
"That one short minute gives me in her sight:","Kwamba dakika moja short anitiaye mbele yake:"
"before we were using a kerosene lamp and the big torches","mwanzo tulikuwa tuna tumia chemli taa ya mafuta ya taa na zile zinazo tumia betri"
"Our visitor bore every mark of being an average commonplace British tradesman, obese, pompous, and slow.","Mgeni wetu alichukua kila alama ya kuwa wastani wa kawaida wa Uingereza mtenzi, feta, lodi, na polepole."
"You're a fool and all that, but you'll do-- ""","Wewe ni mjinga na yote hayo, lakini wewe kufanya - """
"She had never thought there could be so many in any house.","Alikuwa na kamwe mawazo kuna inaweza kuwa wengi katika nyumba yoyote."
"It was so uncanny to Henfrey that for a minute they remained staring blankly at one another.","Ilikuwa ni uncanny kwa Henfrey kwamba kwa dakika walikaa staring blankly katika moja mwingine."
"The boy gives warning something doth approach.","Kijana anatoa onyo kitu anajua mbinu."
"""I am Mr. Holmes,"" answered my companion, looking at her with a questioning and rather startled gaze.","""Mimi ni Bw Holmes,"" alijibu rafiki yangu, kuangalia saa yake na kuuliza maswali, na badala startled macho."
"She pulled open the door of the bedroom and yelled in a loud voice into the darkness,","Yeye vunjwa kufungua mlango wa chumba cha kulala na yelled kwa sauti kubwa katika giza,"
"Immediately a second one flew after it.","Mara moja baada ya pili akaruka."
"But Mozilla has not wanted to do that blindfolded.","Lakini Mozilla bado alitaka kufanya hivyo blindfolded."
"Earlier this consideration had been something he was proud of.","Mapema maanani hii ilikuwa kitu alikuwa kujivunia."
"Our reserve of bullion is much larger at present than is usually kept in a single branch office, and the directors have had misgivings upon the subject.""","Akiba yetu ya bullion ni kubwa sasa kuliko kawaida ni agizo katika moja tawi la ofisi, na wakurugenzi wa kuwa na wasi juu ya somo hilo. """
"Sin not; but if you do, take heed to repent of it like Jonah.""","Dhambi, lakini kama wewe, jihadharini kutubu ni kama Yona. """
"Snapping away with a camera when he ought to be improving his mind, and then diving down into the cellar like a rabbit into its hole to develop his pictures.","Snapping mbali na kamera wakati inabidi kuboresha akili yake, na kisha mbizi chini kwa chini ya pishi kama sungura ndani ya shimo zake za kuendeleza picha yake."
"While we drink and search for love, we forget about the truth~","Wakati sisi kunywa na kutafuta upendo, sisi kusahau kuhusu ukweli ~"
"""No illustrations throwing light--"" ""See for yourself,"" said Mr. Cuss.","""Hakuna mifano kutupa mwanga -"" ""Angalia kwa mwenyewe,"" alisema Bw mzaha."
"--MONTGOMERY'S WORLD BEFORE THE FLOOD.","- MONTGOMERY 'S DUNIANI kabla ya gharika."
"I will just try these three sentences of","Mimi tu kujaribu hukumu hizi tatu ya"
"JULlET Feeling so the loss,","Juliet Feeling hivyo hasara,"
"'You might just as well say,' added the March Hare, 'that ""I like what I get"" is the same thing as ""I get what I like""!'","'Unaweza tu pamoja na kusema,' aliongeza Hare Machi, 'kwamba ""mimi kama nini mimi kupata"" ni kitu sawa kama ""mimi kupata nini mimi kama""! '"
"I don't care!","Mimi sijali!"
"It's none bare.","Ni wazi hakuna."
"Globally, Internet Explorer is still the largest, although their share slowly decreases.","Kimataifa, Internet Explorer bado ni kubwa, ingawa sehemu yao polepole itapungua."
"Meanwhile in the next room it had become really quiet.","Wakati huo huo katika chumba cha pili ni kweli alikuwa na kuwa kimya."
"Morning exercise?","Morning zoezi?"
"They haven't noticed--""","Wao si niliona - """
"To be sure, it might be nothing but a good coat of tropical tanning; but I never heard of a hot sun's tanning a white man into a purplish yellow one.","Ili kuwa na uhakika, inaweza kuwa kitu lakini kanzu nzuri ya tanning kitropiki, lakini mimi kamwe kusikia ya jua kali la tanning mtu purplish nyeupe katika moja ya njano."
"Our Sun has been living for about 4.6 billion years.","Jua letu limekuwa likiishi kwa miaka bilioni 4.6."
"You're going to add-- and there's actually two ways to think about it.","Utajumulisha na kwa hakika kunazo njia mbili za kuifikiria"
"Alright, I'll take care of it.","Alright, mimi itabidi kuchukua huduma yake."
"My brother, he is a scumbag.","Ndugu yangu, yeye ni scumbag."
"""He's quicker at climbing down holes than I am.","""Ni wepesi katika kupanda chini mashimo kuliko mimi."
"I'm just joking.","Mimi tu utani."
"Tha' hasn't.""","Tha 'siyo. """
"Away to heaven respective lenity, And fire-ey'd fury be my conduct now!--","Mbali mbinguni lenity husika, Na moto-ey'd hasira kuwa tabia yangu sasa! -"
"Gregor wanted to answer in detail and explain everything, but in these circumstances he confined himself to saying, ""Yes, yes, thank you mother.","Gregor alitaka kujibu kwa kina na kueleza kila kitu, lakini katika hizi hali yeye mwenyewe kufungiwa kwa kusema, ""Ndiyo, ndiyo, asante mama."
"Concord Fight!","Concord Kupambana!"
"And more inconstant than the wind, who wooes Even now the frozen bosom of the north,","Na zaidi ya upepo kigeugeu, ambaye wooes Hata sasa kifua waliohifadhiwa ya kaskazini,"
"Bottles--chemicals--everywhere.","Mizani, mtihani-zilizopo katika limesimama, na harufu ya - Primrose jioni."
"PRlNCE Search, seek, and know how this foul murder comes.","PRINCE Search, kutafuta, na kujua jinsi hii mauaji mchafu huja."
"After me!","Baada ya mimi!"
"Meanwhile it had become much brighter.","Wakati huo huo alikuwa na kuwa mkali sana."
"I feel like I want to run.","Najisikia kama mimi unataka kukimbia."
"At that he returned to his bedroom, armed himself with the most obvious weapon, the poker, and descended the staircase as noiselessly as possible.","Wakati alirudi chumbani mwake, silaha yake na silaha wazi zaidi, poker, na alishuka staircase kama noiselessly iwezekanavyo."
"So where is this russian friend of yours anyway?","Kwa hiyo ambapo ni rafiki hii russian yenu anyway?"
"Gregor had not heard anything of her approach.","Gregor walikuwa hawajasikia lolote katika mtazamo wake."
"So far Mozilla has had no problem waiting.","Hadi sasa Mozilla imekuwa na hakuna kusubiri tatizo."
"Respectfully--but it is so--"" ""If you don't shut up I shall twist your wrist again,"" said the Invisible Man.","Heshima - lakini ni hivyo - "" Kama si kufunga mimi twist yako wrist tena, ""alisema Invisible Man."
"'I don't know of any that do,' Alice said very politely, feeling quite pleased to have got into a conversation.","'Sijui ya yoyote kwamba kufanya,' Alice alisema politely sana, hisia kabisa radhi kwa got katika mazungumzo."
"SAMPSON Gregory, o' my word, we'll not carry coals.","Sampson Gregory, neno o 'yangu, tutaweza si kubeba makaa."
"He was an undergraduate.","Alikuwa shahada ya kwanza."
"I'm actually trying to lower the bar.","Ninajaribu kushusha matumaini."
"She went away in high spirits as soon as she had given Mary her breakfast.","Yeye alikwenda zake katika roho ya juu kwa haraka kama yeye alikuwa amewapa Mary kifungua kinywa yake."
"And they're catching up very dramatically.","Na wanatukaribia kwa haraka sana."
"Coburg Square, and the ominous words with which he had parted from me.","Coburg Square, na maneno ominous na ambayo alikuwa wakagawana kutoka kwangu."
"""I never,"" she whispered.","""Mimi kamwe,"" alisema alimtia wasiwasi."
"Tempering extremities with extreme sweet.","Matiko extremities na tamu sana."
"""I'm sorry to handle you so roughly,"" said the Voice, ""but it's unavoidable.""","""Samahani kushughulikia wewe hivyo karibu,"" alisema sauti, ""lakini ni kuepukika."""
"Villain am I none; Therefore farewell; I see thou know'st me not.","Villain ni mimi hakuna; hiyo ya kuagana; Mimi naona wewe know'st mimi si."
"Two such opposed kings encamp them still","Mbili vile kinyume wafalme kambi yao bado"
"CAPULET And too soon marr'd are those so early made. The earth hath swallowed all my hopes but she,-- She is the hopeful lady of my earth:","CAPULET Na mapema mno marr'd ni wale alifanya hivyo mapema. duniani ana matumaini na kukata tamaa yangu yote lakini yeye, - She ni mwanamke matumaini ya dunia yangu"
"Besides, by then someone from the office will arrive to inquire about me, because the office will open before seven o'clock.""","Mbali na hilo, kwa wakati huo mtu kutoka ofisi ya kufika kwa kuuliza kuhusu mimi, kwa sababu ofisi ya wazi kabla ya saa saba. """
"But, besides being a black woman, I am different from most of you in some other ways.","Lakini, pamoja na kuwa mwanamke mweusi, niko tofauti na wengi wenu katika njia nyingine."
"THE PROLOGUE [Enter Chorus.]","Dibaji [Enter Chorus.]"
"She was not very clever at it, but she liked it so much that she did not want to stop.","Alikuwa si wajanja sana katika hilo, lakini yeye walipenda ni kiasi kwamba yeye hakutaka kuacha."
"If they found out, the whole school will know.","Kama walichokiona shule nzima kujua."
"What unaccustom'd cause procures her hither?","Nini unaccustom'd kusababisha procures hapa yake?"
"Back he comes with a knife in uz hand and a loaf; stood just as if he was staring.","Back yeye kuja na kisu katika Usi mkono na mkate; alisimama tu kama kama alikuwa staring."
"In th' flower gardens out there things will be stirrin' down below in th' dark.","Katika th 'bustani ya maua nje kuna mambo yatakuwa stirrin' chini chini katika giza th '."
"Here the Dormouse shook itself, and began singing in its sleep 'Twinkle, twinkle, twinkle, twinkle--' and went on so long that they had to pinch it to make it stop.","Hapa Dormouse shook yenyewe, na alianza kuimba katika Twinkle kulala kwake, meremeta, meremeta, memetuka - 'na akaenda kwa muda mrefu kwamba walikuwa kwa Bana ni kufanya ni kuacha."
"Chrome is constantly updating its browser and during the last couple of years, Microsoft has focused on Explorer updates and has a version 9 coming out soon.","Chrome daima uppdatering browser yake na wakati wa miaka michache iliyopita, Microsoft umelenga Explorer updates na ina version 9 kuja nje hivi karibuni."
"""Says he wi' nart,"" said Hall.","""Anasema yeye nart wi ',"" alisema Hall."
"Throw your mistemper'd weapons to the ground And hear the sentence of your moved prince.--","Kutupa silaha yako mistemper'd chini na kusikia hukumu ya mkuu wako wakiongozwa .--"
"ROMEO Meaning, to court'sy.","Romeo Maana, kwa court'sy."
"But you're my senior in life since you're married.","Lakini Wewe ni mwandamizi wangu katika maisha tangu Wewe ni kuolewa."
"Mrs. Hall saying his dog didn't have no business to bite her guests; there was","Bi Hall akisema mbwa wake hawakuwa na hakuna biashara kwa bite wageni wake, kuna"
"ROMEO I'll tell thee ere thou ask it me again.","Romeo Nitakuambia yako kabla ya kuwafikia wewe kuuliza ni mimi tena."
"There is a wonderful sympathy and freemasonry among horsey men.","Kuna huruma ya ajabu na freemasonry miongoni mwa watu Horsey."
"And if we obey God, we must disobey ourselves; and it is in this disobeying ourselves, wherein the hardness of obeying God consists.","Na kama sisi kumtii Mungu, lazima tumekataa sisi wenyewe, na ni ya kutomtii hii wenyewe, ambayo ugumu wa Mungu lina kutii."
"[Enter, at the other end of the Churchyard, Friar Lawrence, with a lantern, crow, and spade.]","[Enter, mwisho wake Churchyard, Friar Lawrence, na taa, jogoo, na jembe.]"
"But, as it seems, did violence on herself.","Lakini, kama inaonekana, alifanya vurugu juu yake."
"It is now filled with the smooth sumach (Rhus glabra), and one of the earliest species of goldenrod (Solidago stricta) grows there luxuriantly.","Kwa sasa ni kujazwa na sumach laini (Rhus glabra), na mmoja wa mwanzo aina ya goldenrod (Solidago stricta) kukua huko luxuriantly."
"Swish, rustle.","Swish, chakacha."
"Fill to THlS mark, and your charge is but a penny; to THlS a penny more; and so on to the full glass--the Cape Horn measure, which you may gulp down for a shilling.","Kujaza na alama hii, na ulinzi wako lakini senti; kwa THIS senti zaidi, na kadhalika kwa kioo kamili - Cape Pembe kipimo, ambayo unaweza gugumia chini kwa shilingi."
"It is a perfectly overpowering impulse, and","Ni msukumo overpowering kikamilifu, na"
"--EDMUND BURKE'S REFERENCE IN PARLlAMENT TO THE NANTUCKET WHALE-FlSHERY.","Reference Edmund Burke katika Bunge YA NANTUCKET nyangumi-Uvuvi -."
"""There will call upon you to-night, at a quarter to eight o'clock,"" it said, ""a gentleman who desires to consult you upon a matter of the very deepest moment.","""Kutakuwa na wito kwa wewe na-usiku, saa 7:45 usiku,"" ilisema, "" muungwana anaye taka ushauri wewe juu ya suala la muda sana ndani kabisa."
"[applause and cheering]","[upigaji makofi na ukelele wa kufurahia]"
"""Yes,"" said Mr. Bunting, and the doctor repeated it.","""Ndiyo,"" alisema Bw Bunting, na daktari mara kwa mara yake."
"Day 6:","Siku ya sita:"
"""But they take long enough to get well, don't they? ...","""Lakini wao kuchukua muda wa kutosha kwa kupata vizuri, wala wao? ..."
"What if Sangmin's parents and your's find out about this?","Nini kama Sangmin wa wazazi na yenu kujua kuhusu hili?"
"That's good.","Hiyo ni nzuri."
"Displant a town, reverse a prince's doom, It helps not, it prevails not,--talk no more.","Displant mji, reverse adhabu mkuu, Inasaidia, si ipo si, - majadiliano hakuna zaidi."
"""Quite so,"" he answered, lighting a cigarette, and throwing himself down into an armchair.","""Ni hivyo,"" yeye akajibu, taa sigara, na kutupa mwenyewe chini katika armchair."
"Everything was ruddy, shadowy, and indistinct to her, the more so since she had just been lighting the bar lamp, and her eyes were dazzled.","Kila kitu kilikuwa wekundu, shadowy, na indistinct yake, zaidi kwa vile yeye alikuwa tu kuwa taa na bar, na macho yake yalikuwa dazzled."
"LADY CAPULET What say you? can you love the gentleman?","LADY CAPULET kusema nini wewe? unaweza upendo muungwana?"
"'Hold your tongue!' said the Queen, turning purple.","Alisema Malkia, na kugeuka rangi ya zambarau."
"Thank you very much.","Asante Sana."
"Find him!","Kumpata!"
"[Enter Romeo.]","[Enter Romeo.]"
"'You should learn not to make personal remarks,' Alice said with some severity;","'Unapaswa kujifunza kufanya hotuba ya binafsi,' Alice alisema kwa ukali baadhi;"
"""What did he do that for?"" asked Mary.","""Ni nini yeye kufanya hivyo kwa?"" Aliuliza Maria."
"He coughed, put on his glasses, arranged them fastidiously, coughed again, and wished something would happen to avert the seemingly inevitable exposure.","Yeye coughed, kuvaa miwani yake, mpangilio wao fastidiously, coughed tena, na taka kitu kinachoweza kutokea kwa kuzuia mfiduo inaonekana lazima."
"He hopped about and pecked the earth briskly, looking for seeds and insects.","Yeye hopped kuhusu dunia na pecked briskly, kutafuta mbegu na wadudu."
"""I say!"" said Jaffers, brought up short by a dim realization of the incongruity of the whole business, ""Darn it!","""Mimi kusema!"" Alisema Jaffers, alileta hadi short na kutambua dim ya tafauti yoyote ya nzima ya biashara, ""darn it!"
"This is as't should be.--Let me see the county; Ay, marry, go, I say, and fetch him hither.--","Hii ni lazima as't .-- Napenda kuona kata, Ay, kuoa, kwenda, nasema, na kumchukua hapa .--"
"What a great excuse!","Nini udhuru kubwa!"
"- I'll be at our seats.","- Nitakuwa kwenye viti yetu."
"His fingers trembled while doing so.","Vidole vyake kutetemeka wakati akifanya hivyo."
"I fear it is: and yet methinks it should not, For he hath still been tried a holy man:--","Mimi hofu ni: na bado methinks ni lazima, kwa kuwa yeye bado amehukumiwa mtu mtakatifu: -"
"Have fun.","Kuwa na furaha."
"How queer everything is to-day!","Jinsi Queer kila kitu ni kwa siku!"
"yeah she was born, was born in what year? i was born in 1965","yeah amezaliwa, mwaka gani umesema umezaliwa? mi nimezaliwa 1965"
"Everything's great, thanks to you.","Kila kitu mkuu, shukrani kwa wewe."
"If I had never dropped out, I would have never dropped in on this calligraphy class, and personal computers might not have the wonderful typography that they do.","Nisipongeliachana na masomo singalipitia darasa lile la utaalamu wa maandiko. matokeo yake tarakilishi ya kibinafsi hazingekuwa na vivutio kiasi zinazokuwa nazo."
"""All right,"" said Jones with a stare and a snigger.","""Sawa,"" alisema Jones na staré na snigger."
"Then he was struck violently in the chest, hurled back, and the door slammed in his face and locked.","Kisha alipigwa kwa ukali katika kifua, hurled nyuma, na mlango slammed katika wake uso na imefungwa."
"She went and stood beside him and watched him a few moments in her cold little way.","Yeye akaenda, akasimama karibu naye na watched naye dakika chache katika njia yake baridi kidogo."
"I became extremely buoyant.","Nimeishi sana buoyant."
"'Come, that finished the guinea-pigs!' thought Alice.","'Haya, kwamba kumaliza Guinea-nguruwe!' Walidhani Alice."
"Gregor was now shut off from his mother, who was perhaps near death, thanks to him.","Gregor sasa ilikuwa imefungwa mbali na mama yake, ambaye alikuwa labda karibu kufa, kumshukuru huyo."
"PETER I will then give it you soundly.","PETER mimi kisha kuwapa ninyi soundly."
"I pursued with a paddle and he dived, but when he came up I was nearer than before.","Mimi walifuata kwa paddle na yeye dived, lakini Alipofika juu nilikuwa karibu zaidi kuliko kabla."
"I don't like what you guys do, but I'm not gonna mix in this and not gonna tell you what to do.","Sijui kama nini guys kufanya, lakini nina gonna mchanganyiko katika hili na si gonna kuwaambia nini kufanya."
"When people had the cholera it seemed that they remembered nothing but themselves.","Wakati watu alikuwa na kipindupindu ilionekana kuwa wakayakumbuka chochote lakini wao wenyewe."
"Its mother had been killed nearby an' th' hole was swum out an' th' rest o' th' litter was dead.","Mama yake walikuwa wameuawa karibu 'th' shimo alikuwa swum nje kupumzika 'th' 'th' o takataka alikuwa amekufa."
"There are no fours here!","Hakuna nambari nne yoyote hapa!"
"'Nowt o' th' soart' means 'nothin'-of-the- sort,'"" slowly and carefully, ""but it takes so long to say it.","'Nowt o' th 'soart' maana yake 'nothin'-ya-aina-,' ""polepole na kwa makini,"" lakini inachukua muda mrefu ya kusema hivyo."
"They call themselves the ""elder brothers"" and they say we, who are the younger brothers, are the ones responsible for destroying the world.","Wanajiita kaka wakubwa na wanasema sisi, ambao ni kaka wadogo, tunaohusika na kuiharibu dunia,"
"Bondage is hoarse and may not speak aloud;","Utumwa ni hoarse na wala kusema kwa sauti;"
"I end now with the world.","Ninamalizia sasa na dunia."
"Sangmin, what are you doing?","Sangmin, unafanya nini?"
"Weston woods.","Weston Woods."
"Professor Katey Walter from the University of Alaska went out with another team to another shallow lake last winter.","Profesa Katey Walter kutoka Chuo Kikuu cha Alaska alienda pamoja na timu nyingine kwenye ziwa jingine fupi wakati wa masika iliyopita."
"It is super fast and the sync function is exciting to play with.","Ni super haraka na kazi Sync ni ya kusisimua na kucheza na."
"- Yeah...","- Yeah..."
"When the procession came opposite to Alice, they all stopped and looked at her, and the","Wakati maandamano alikuja kinyume na Alice, wote kusimamishwa na kuangalia saa yake, na"
"Hello?","Hello?"
"I've got my boots in this country ten years or more.","Mimi nimepata buti wangu katika nchi hii miaka kumi au zaidi."
"I'll show you.","Mimi nitakuonyeshea."
"I don't have anybody else I can come on.","Sina mtu mwingine naweza kuja juu."
"Contralto--hum!","Contralto - hum!"
"[Re-enter Juliet, above.]","[Re-kuingia Juliet, hapo juu.]"
"[Drawing his sword.]","[Kuchora upanga wake.]"
"Think of the servants running away and leaving her all alone in that deserted bungalow.","Fikiria ya watumishi wa kukimbia na kuacha wake wote kuwa peke yake katika faragha bungalow."
"ROMEO I would I were thy bird.","Romeo napenda ningekuwa ndege yako."
"I don't know where he is.","Sijui alipo."
"Hey, mom!","Hey, mama!"
"LADY CAPULET What noise is here?","LADY CAPULET kelele ni nini hapa?"
"Suddenly he became aware of a strange feeling at the nape of his neck.","Ghafla akawa na ufahamu wa ajabu hisia katika kikosi chake."
"FRlAR Bliss be upon you!","FRIAR neema iwe juu yenu!"
"I drew to part them: in the instant came The fiery Tybalt, with his sword prepar'd;","Nilitoa kwa sehemu yao papo hapo alikuja Tybalt moto, na upanga wake prepar'd;"
"I did not gain very much, however, by my inspection.","Sikuweza kupata sana, hata hivyo, na yangu ukaguzi."
"That was why the place was so quiet.","Na ndiyo mahali ilikuwa ya utulivu."
"The bearded man's revolver cracked and the looking-glass at the back of the parlour starred and came smashing and tinkling down.","Bearded mtu bastola ya kupasuka na kuangalia-kioo nyuma ya chumba hoja na kuja smashing na zikilia chini."
"Prizes!'","Zawadi! '"
"She quite hated Mrs. Medlock at the moment, but she hated her more the next.","Yeye kuchukiwa kabisa Bi Medlock kwa sasa, lakini yeye kuchukiwa yake zaidi ijayo."
"'Oh, PLEASE mind what you're doing!' cried Alice, jumping up and down in an agony of terror.","'Oh, PLEASE akili nini wewe kufanya!' Kelele Alice, kuruka juu na chini katika uchungu wa ugaidi."
"Obviously they have been caused by someone who has very carelessly scraped round the edges of the sole in order to remove crusted mud from it.","Wazi wao kuwa unasababishwa na mtu ambaye ana ovyo sana scraped raundi ya edges wa pekee ili kuondoa crusted matope kutoka humo."
"Go, get thee to thy love, as was decreed,","Nenda, wewe kupata upendo wako, kama ilivyokuwa hukumu,"
"Good, I like that.","Nzuri, mimi kama hiyo."
"Piteous predicament!","Piteous tatizo!"
"He saw the village flags and festivities beyond, and a face or so turned towards him.","Aliona bendera kijiji na sikukuu ya nje, na uso au hivyo waleta yake."
"I mean, we know that the brain changes throughout life based on experiences.","Twafahamu kuwa ubongo unabadilia kulingana na uzoefu wa maisha"
"FRlAR JOHN I could not send it,--here it is again,--","FRIAR JOHN sikuweza kutuma, - hapa ni tena, -"
"Mary, a new idea taking possession of her.","Maria, wazo mpya kuchukua mali yake."
"It's true--I assure you; as true as I'm sitting here talking about him in vain.","Ni kweli - mimi kuwahakikishia, kama kweli kama mimi nina ameketi hapa kuzungumza juu yake bure."
"She had a little thin face and a little thin body, thin light hair and a sour expression.","Alikuwa na uso mwembamba kidogo na kidogo nyembamba mwili, nywele nyembamba mwanga na siki kujieleza."
"I was ten years old.","Nilikuwa na umri wa miaka kumi."
"That's one one, plus another one, plus another one.","Hiyo ni moja uongeze moja kasha uongeze moja nyingine ya tatu."
"Stop!"" The hand gripped his arm.","Stop! ""Mkono umeandama mkono wake."
"There was a low rumbling of heavy sea-boots among the benches, and a still slighter shuffling of women's shoes, and all was quiet again, and every eye on the preacher.","""Kulikuwa na buti za ngurumo ya bahari-zito kati ya madawati, na bado slighter shuffling ya viatu ya wanawake, na yote utulivu tena, na kila jicho juu ya mhubiri."
"Have at thee, coward!","Je, katika wewe, mwoga!"
"And then in a twinkling I heard on the roof, The prancing and pawing of each little hoof.","Na kisha kufumba nikasikia juu ya paa, tambo na para ya kwato kila kidogo."
"None of us want that, and we all have that in common.","Wote hatutaki hivyo, na wote tuna jambo linalofanana."
"Aye, I can keep secrets.""","Aye, siwezi kuweka siri. """
"hi you lose people want to really up that that you better come into my frame of reference now","hi wewe kupoteza watu wanataka kweli juu kwamba wewe bora kuja katika sura yangu ya rejea sasa"
"Chris Anderson:","Chris Anderson:"
"But I will write again to Mantua, And keep her at my cell till Romeo come;--","Lakini mimi kuandika tena kwa Mantua, Na kuweka yake katika kiini wangu mpaka Romeo kuja, -"
"When I'm goin' home to her on my day out I just jump for joy when I'm crossin' the moor.""","Wakati mimi nina goin 'nyumbani kwake siku yangu nje mimi tu kuruka kwa furaha wakati mimi nina crossin'"
"Open the...","Fungua..."
"We share what we love and it reminds us what we all have in common.","Tunashirikiana kile tukipendacho na kinatukumbusha kile tulichonacho kwa pamoja."
"I know.","Najua."
"THE ADVENTURES OF SHERLOCK HOLMES by","YA ADVENTURES ZA Holmes Sherlock na"
"We'll be painting until dawn.","Tutaweza kuwa uchoraji mpaka alfajiri."
"I am sure you could never guess how I employed my morning, or what I ended by doing.""","Nina uhakika kamwe nadhani jinsi mimi walioajiriwa asubuhi yangu, au kile kumalizika kwa kufanya. """
"Beau--ootiful Soo--oop!","Beau - ootiful Soo - oop!"
"She lives quietly, sings at concerts, drives out at five every day, and returns at seven sharp for dinner.","Anaishi kimya kimya, kuimba katika matamasha, anatoa nje saa tano kila siku, na anarudi saa saba makali kwa ajili ya chakula cha jioni."
